property_type,inspections_opendate,inspections_closeddate,date_num,violation
Group Home,2021-11-07,2024-07-31,1413,0
Group Home (VO),2020-03-29,2024-06-24,285,0
Residential Care,2024-08-01,2024-03-02,814,1
Hospital,2022-06-21,2024-11-08,1354,1
Hotel & Motel,2024-05-22,2024-08-13,927,1
Residential Care,2022-07-03,2024-07-28,1192,1
Group Home (VO),2023-08-09,2024-11-18,1318,0
Hospital,2019-10-07,2024-06-17,792,1
Hospital,2021-02-09,2024-01-31,251,0
Hotel & Motel,2023-10-24,2024-03-08,761,1
Rooming House,2024-06-02,2024-10-26,1676,1
Nursing Home,2022-05-10,2024-08-24,580,0
Detention,2020-04-16,2024-07-27,673,0
Rooming House,2023-04-30,2024-08-12,208,0
Group Home (VO),2019-07-15,2024-08-20,87,0
Residential Care,2019-08-25,2024-08-03,292,1
Residential Care,2022-11-03,2024-11-18,493,0
Residential Care,2023-07-05,2024-09-29,645,0
Detention,2023-04-27,2024-10-31,796,0
Hospital,2024-04-02,2024-10-27,1120,1
Hospital,2021-11-02,2024-01-24,1404,1
Residential Care,2022-10-20,2024-10-06,1660,1
Residential Care,2020-12-14,2024-03-04,372,0
High Rise,2024-07-07,2024-02-14,562,1
Hotel & Motel,2020-03-01,2024-08-11,119,1
Detention,2022-06-08,2024-05-26,182,0
Detention,2022-10-30,2024-02-21,1514,0
Rooming House,2021-01-19,2024-02-27,369,1
Hospital,2024-06-20,2024-11-17,1168,1
Nursing Home,2023-12-01,2024-04-07,996,1
Group Home (VO),2022-09-06,2024-05-02,932,0
Group Home,2021-03-11,2024-01-26,51,1
Residential Care,2023-01-05,2024-06-10,1170,1
Group Home (VO),2023-08-04,2024-03-22,330,1
Residential Care,2022-09-26,2024-08-05,745,1
Rooming House,2024-04-25,2024-10-19,1343,0
Group Home,2020-03-02,2024-08-13,1487,1
High Rise,2020-01-01,2024-08-26,724,0
Detention,2024-11-02,2024-09-30,261,0
Low Rise,2023-07-30,2024-05-10,887,1
Residential Care,2024-05-12,2024-08-28,540,1
Group Home (VO),2020-01-10,2024-08-15,287,1
High Rise,2020-06-26,2024-06-12,1006,1
Nursing Home,2021-11-21,2024-03-27,579,0
Hotel & Motel,2022-02-06,2024-04-07,10,0
Rooming House,2023-05-30,2024-06-18,610,0
Low Rise,2024-07-01,2024-02-09,387,0
Hotel & Motel,2024-04-26,2024-09-19,1265,1
Hotel & Motel,2022-03-12,2024-08-21,1445,1
Nursing Home,2023-10-26,2024-10-27,1051,0
Hotel & Motel,2021-05-15,2024-09-07,580,0
Detention,2021-12-10,2024-08-06,587,0
Group Home,2023-04-26,2024-10-11,185,0
Nursing Home,2024-04-22,2024-01-23,979,1
Nursing Home,2022-11-20,2024-09-05,245,1
Nursing Home,2020-06-18,2024-10-14,23,1
High Rise,2019-08-05,2024-08-24,322,0
High Rise,2022-12-24,2024-03-11,1017,1
Detention,2024-04-26,2024-06-16,1627,0
Hotel & Motel,2024-06-30,2024-11-13,361,1
Group Home (VO),2020-02-28,2024-04-01,601,1
Detention,2019-12-17,2024-08-02,365,1
Hospital,2024-07-22,2024-11-23,1611,0
Residential Care,2022-03-21,2024-10-21,1585,1
Residential Care,2019-08-06,2024-05-17,673,1
Detention,2023-12-17,2024-05-12,139,0
Hospital,2022-02-20,2024-05-22,84,0
Low Rise,2023-10-16,2024-08-23,1257,1
Nursing Home,2021-11-09,2024-10-13,753,1
Rooming House,2024-11-06,2024-06-25,43,0
Hospital,2022-03-20,2024-03-08,1135,0
Nursing Home,2023-02-21,2024-08-19,1423,0
Detention,2019-11-05,2024-04-12,1212,1
Nursing Home,2022-10-26,2024-10-17,306,0
Group Home (VO),2021-06-28,2024-11-22,1464,0
High Rise,2021-12-12,2024-04-12,978,0
Rooming House,2020-02-01,2024-06-01,1191,1
Group Home (VO),2023-04-20,2024-02-11,269,1
Low Rise,2023-12-08,2024-01-12,128,1
Hospital,2022-06-26,2024-06-24,716,1
Rooming House,2021-11-11,2024-07-06,1367,0
Low Rise,2022-03-21,2024-06-18,1216,0
Group Home,2023-04-06,2024-08-12,264,0
Rooming House,2023-09-01,2024-04-25,789,1
Residential Care,2022-03-23,2024-03-21,722,0
Detention,2021-08-01,2024-06-17,836,0
Group Home,2023-02-11,2024-04-18,1181,1
Hotel & Motel,2022-04-30,2024-09-04,1591,0
High Rise,2023-06-12,2024-04-01,1613,1
Group Home (VO),2021-11-21,2024-06-18,163,1
Detention,2024-01-21,2024-09-18,84,0
High Rise,2023-09-12,2024-04-28,1003,0
Low Rise,2024-01-11,2024-09-12,1364,1
Group Home (VO),2019-10-26,2024-07-29,1284,1
Hotel & Motel,2019-12-27,2024-04-17,839,1
Group Home (VO),2019-08-05,2024-05-11,663,0
Rooming House,2024-02-17,2024-08-25,1063,0
Nursing Home,2024-07-12,2024-08-16,630,1
Hospital,2019-09-27,2024-02-26,1562,0
Nursing Home,2020-10-24,2024-02-09,308,0
Nursing Home,2021-06-29,2024-01-14,1610,1
Group Home (VO),2024-07-12,2024-04-13,1204,1
Nursing Home,2022-12-21,2024-04-13,640,0
Hospital,2023-05-14,2024-10-04,556,1
Nursing Home,2022-11-14,2024-07-25,370,1
Hotel & Motel,2020-03-20,2024-04-11,1021,1
Hospital,2021-10-30,2024-10-07,363,1
Rooming House,2024-10-13,2024-05-06,342,0
Detention,2021-11-10,2024-02-29,267,0
Rooming House,2024-10-02,2024-09-27,1101,0
Hospital,2021-03-09,2024-08-17,460,0
High Rise,2020-03-05,2024-06-02,572,1
High Rise,2024-07-05,2024-08-02,567,0
Residential Care,2024-05-12,2024-04-13,1586,0
Group Home,2024-06-28,2024-05-26,1583,0
Group Home (VO),2024-10-13,2024-07-25,1654,1
Nursing Home,2022-12-09,2024-10-16,865,0
Hospital,2019-12-19,2024-04-12,653,0
Hotel & Motel,2022-10-14,2024-10-17,957,1
Residential Care,2021-02-09,2024-06-01,508,0
Group Home (VO),2023-06-04,2024-07-27,1147,1
Detention,2020-04-04,2024-04-06,338,1
High Rise,2022-11-21,2024-01-23,1165,1
Group Home,2023-05-28,2024-06-12,56,0
Hospital,2022-08-18,2024-08-21,489,1
Residential Care,2023-05-11,2024-09-29,1070,0
Rooming House,2023-02-07,2024-09-15,1176,0
Group Home,2020-05-01,2024-05-05,1544,1
High Rise,2022-02-04,2024-01-10,951,1
Hospital,2024-09-02,2024-02-19,1629,0
Low Rise,2021-10-21,2024-01-15,469,1
Hotel & Motel,2023-03-10,2024-10-13,165,1
Low Rise,2022-07-02,2024-07-14,1483,0
Residential Care,2023-05-07,2024-08-02,411,0
Hotel & Motel,2021-11-03,2024-07-04,686,0
Group Home (VO),2023-04-05,2024-07-24,842,0
Group Home (VO),2024-03-25,2024-07-06,1073,1
Detention,2020-09-22,2024-09-22,1527,1
Low Rise,2023-01-03,2024-11-23,647,0
High Rise,2021-03-08,2024-08-05,934,0
High Rise,2019-10-23,2024-03-17,139,1
High Rise,2021-04-18,2024-06-07,318,0
Residential Care,2023-05-17,2024-10-05,295,1
High Rise,2020-06-24,2024-01-09,879,0
Rooming House,2021-07-15,2024-02-29,499,0
Low Rise,2021-05-21,2024-07-14,288,0
Low Rise,2020-11-02,2024-08-31,1261,0
Group Home,2021-09-02,2024-02-02,1678,0
High Rise,2024-08-29,2024-01-20,934,0
Hospital,2021-04-08,2024-06-19,801,1
Residential Care,2023-04-18,2024-06-12,73,1
Hotel & Motel,2022-07-08,2024-09-02,666,1
Rooming House,2023-04-22,2024-05-13,570,0
Group Home,2021-12-30,2024-05-20,3,1
Hotel & Motel,2021-01-11,2024-08-09,1411,0
Group Home,2023-07-13,2024-02-18,564,0
Low Rise,2024-08-08,2024-05-13,494,0
Group Home (VO),2023-07-31,2024-08-19,867,0
Hospital,2020-07-27,2024-02-09,1513,0
Hotel & Motel,2023-10-08,2024-05-08,627,0
Rooming House,2024-11-19,2024-02-11,911,0
Residential Care,2020-10-23,2024-08-22,937,1
Hospital,2024-08-05,2024-04-13,856,1
Residential Care,2023-02-03,2024-03-25,536,0
High Rise,2022-09-03,2024-11-19,1260,0
Nursing Home,2024-10-31,2024-06-21,942,0
Residential Care,2022-08-15,2024-10-02,1576,0
Group Home,2023-05-10,2024-02-17,366,1
Group Home (VO),2022-12-01,2024-01-14,920,1
Residential Care,2024-06-08,2024-06-22,358,1
Residential Care,2020-04-30,2024-01-27,142,0
Group Home (VO),2023-04-13,2024-04-24,1018,1
Nursing Home,2023-02-27,2024-10-08,1279,1
Nursing Home,2019-12-20,2024-04-15,442,1
Nursing Home,2020-09-16,2024-05-23,71,0
Nursing Home,2020-08-27,2024-10-28,941,1
High Rise,2021-11-03,2024-06-16,593,0
Group Home,2023-07-05,2024-06-22,579,1
Hospital,2022-01-13,2024-02-11,1215,1
Rooming House,2019-11-01,2024-01-18,1265,1
Hospital,2021-10-24,2024-08-02,277,1
Nursing Home,2023-05-06,2024-01-17,43,0
Hotel & Motel,2023-11-25,2024-03-06,797,0
Group Home (VO),2019-07-10,2024-08-24,228,0
Low Rise,2023-07-25,2024-10-11,1237,1
High Rise,2019-11-20,2024-11-25,712,0
High Rise,2023-07-26,2024-04-05,1252,0
Low Rise,2023-03-29,2024-07-19,134,1
Group Home (VO),2022-03-05,2024-07-03,1005,0
Residential Care,2022-05-30,2024-02-08,715,1
Rooming House,2020-10-19,2024-07-17,260,0
Detention,2024-02-06,2024-01-25,1588,0
Hospital,2020-03-17,2024-10-29,1050,1
Hospital,2024-11-08,2024-11-17,565,1
High Rise,2024-06-23,2024-05-28,665,1
Low Rise,2020-05-16,2024-10-18,232,1
Hospital,2024-03-10,2024-05-11,1492,0
Hotel & Motel,2024-05-04,2024-03-14,1325,1
Group Home,2020-07-28,2024-08-13,1094,0
Rooming House,2024-10-27,2024-10-04,1552,1
Residential Care,2023-03-11,2024-04-28,191,0
Low Rise,2019-11-30,2024-01-22,760,0
Hospital,2024-04-06,2024-01-21,1275,0
Group Home,2020-07-19,2024-04-04,336,1
Detention,2021-10-09,2024-11-21,907,0
Nursing Home,2022-08-29,2024-08-29,1422,0
Rooming House,2020-03-07,2024-07-08,1449,1
Group Home (VO),2023-09-10,2024-10-02,94,1
High Rise,2022-08-23,2024-02-17,1144,0
Group Home,2024-02-04,2024-09-30,1107,0
Detention,2023-03-02,2024-07-25,702,0
Hospital,2020-05-31,2024-03-08,1363,0
Group Home (VO),2024-10-03,2024-06-16,494,1
Rooming House,2021-03-30,2024-09-07,129,0
Low Rise,2021-01-05,2024-06-02,745,1
Group Home,2021-05-11,2024-07-23,1310,0
Hospital,2024-07-19,2024-03-08,1102,1
High Rise,2022-01-09,2024-04-23,338,0
Hospital,2023-05-19,2024-10-07,444,1
Low Rise,2022-08-24,2024-07-29,235,1
Hotel & Motel,2019-10-30,2024-04-01,640,1
Nursing Home,2024-02-09,2024-11-12,524,1
Hotel & Motel,2022-04-21,2024-11-10,111,0
Rooming House,2023-03-18,2024-06-16,195,1
Hospital,2024-07-10,2024-03-17,474,0
Low Rise,2022-01-02,2024-11-11,955,1
Hotel & Motel,2022-03-07,2024-10-20,1469,0
Group Home (VO),2020-11-11,2024-07-16,1050,0
Hospital,2019-09-20,2024-09-03,1188,1
Nursing Home,2023-12-31,2024-03-11,512,0
Residential Care,2023-05-11,2024-02-12,1406,1
Low Rise,2024-07-08,2024-05-09,829,1
High Rise,2021-09-20,2024-04-02,752,0
Nursing Home,2024-05-15,2024-09-04,583,1
High Rise,2020-06-21,2024-02-08,676,0
Hospital,2023-02-11,2024-05-05,1601,0
Rooming House,2020-09-16,2024-05-31,1341,1
Detention,2023-07-08,2024-07-02,725,1
Detention,2023-04-11,2024-10-09,1507,0
Group Home,2019-11-07,2024-10-25,362,0
High Rise,2022-03-06,2024-03-31,1076,0
High Rise,2019-11-25,2024-05-24,1296,0
Hotel & Motel,2022-07-07,2024-04-17,137,0
Rooming House,2020-10-08,2024-07-02,765,1
Detention,2022-10-10,2024-03-30,738,1
Detention,2021-03-28,2024-11-04,1145,1
Nursing Home,2024-08-10,2024-03-05,1385,1
High Rise,2024-10-07,2024-01-27,564,1
Residential Care,2020-04-19,2024-02-23,465,0
Group Home (VO),2021-06-03,2024-04-21,131,0
Low Rise,2022-05-08,2024-10-07,1610,0
High Rise,2021-03-08,2024-03-14,1385,0
Hotel & Motel,2022-06-08,2024-02-12,373,0
Nursing Home,2019-12-11,2024-09-11,1350,0
Low Rise,2020-03-19,2024-09-30,553,1
High Rise,2021-03-30,2024-09-08,228,1
Nursing Home,2020-07-09,2024-04-01,750,1
Low Rise,2019-10-12,2024-11-04,193,0
Detention,2020-02-19,2024-05-28,1263,1
Low Rise,2020-01-18,2024-02-20,1495,0
High Rise,2021-06-03,2024-06-15,1510,1
Residential Care,2021-04-13,2024-07-02,657,0
Nursing Home,2022-10-08,2024-10-18,1126,1
Residential Care,2022-11-30,2024-11-09,829,0
Hospital,2021-08-24,2024-03-02,1393,0
Hospital,2022-06-20,2024-09-17,420,1
High Rise,2023-12-05,2024-02-10,1314,1
Group Home,2023-02-23,2024-06-22,1628,1
Rooming House,2023-01-29,2024-01-30,629,0
Group Home,2021-01-05,2024-07-06,596,0
Nursing Home,2020-02-23,2024-11-14,404,1
Rooming House,2023-07-22,2024-02-04,555,1
High Rise,2020-04-18,2024-08-07,756,0
Rooming House,2024-07-26,2024-08-27,1386,0
High Rise,2022-06-10,2024-07-01,1479,0
Hotel & Motel,2022-05-16,2024-07-26,585,1
Detention,2020-06-19,2024-07-25,1555,1
High Rise,2024-02-14,2024-05-27,569,0
Group Home,2020-10-30,2024-10-25,809,1
High Rise,2020-07-03,2024-03-31,645,0
High Rise,2022-04-28,2024-07-14,894,0
Low Rise,2023-08-15,2024-07-10,628,0
Low Rise,2022-08-29,2024-05-24,1491,1
Group Home (VO),2023-09-04,2024-10-09,1122,0
Hotel & Motel,2021-09-05,2024-07-03,831,1
Nursing Home,2020-05-09,2024-10-28,239,0
Nursing Home,2021-10-28,2024-11-22,1303,1
Low Rise,2023-12-02,2024-03-22,1130,0
High Rise,2020-05-10,2024-01-05,1622,1
Detention,2020-03-18,2024-03-10,260,1
Low Rise,2021-09-10,2024-10-03,1634,0
High Rise,2020-05-20,2024-03-18,958,0
Residential Care,2021-01-27,2024-11-06,1024,1
Rooming House,2023-05-15,2024-07-24,838,0
High Rise,2021-08-10,2024-01-23,675,1
Group Home,2021-02-05,2024-05-27,1078,1
Group Home,2023-09-28,2024-09-28,779,0
Low Rise,2019-12-04,2024-08-20,520,0
Hotel & Motel,2020-03-15,2024-08-26,107,1
Nursing Home,2023-08-23,2024-09-21,655,1
Hospital,2023-07-14,2024-11-16,833,1
Detention,2020-05-17,2024-08-03,309,0
Low Rise,2024-11-11,2024-04-09,1219,0
Low Rise,2022-07-03,2024-08-22,1127,0
Hospital,2020-09-25,2024-02-17,1,1
Residential Care,2024-10-27,2024-11-15,509,1
Low Rise,2021-05-29,2024-08-03,1643,1
Nursing Home,2023-07-04,2024-06-15,367,0
Nursing Home,2023-09-14,2024-02-23,1179,0
Group Home (VO),2019-07-12,2024-09-09,1233,1
High Rise,2021-11-17,2024-05-22,1332,0
Low Rise,2024-02-13,2024-07-04,296,0
Hospital,2022-05-25,2024-07-24,646,1
Group Home,2023-05-29,2024-11-03,216,1
Group Home (VO),2024-09-25,2024-01-02,66,1
Low Rise,2022-06-20,2024-10-11,1598,0
Group Home (VO),2019-12-25,2024-03-15,1617,0
Hotel & Motel,2024-01-09,2024-08-18,1011,1
Detention,2022-07-01,2024-09-12,1097,0
High Rise,2021-04-08,2024-06-01,52,1
Rooming House,2024-06-07,2024-01-21,514,1
Low Rise,2021-05-13,2024-06-09,1248,1
Rooming House,2021-11-18,2024-09-22,192,0
High Rise,2020-09-08,2024-08-24,422,1
Hotel & Motel,2019-07-23,2024-04-15,1504,1
High Rise,2022-07-27,2024-08-16,1272,0
Residential Care,2020-11-23,2024-08-15,499,0
Detention,2019-08-23,2024-05-02,1148,0
Hospital,2020-10-06,2024-04-03,1387,0
Residential Care,2020-07-25,2024-11-24,675,1
Residential Care,2024-03-28,2024-06-06,1397,1
Hotel & Motel,2023-01-07,2024-11-26,663,1
Group Home (VO),2024-02-01,2024-09-22,1531,1
Group Home (VO),2020-11-21,2024-11-09,420,1
Hospital,2020-12-16,2024-06-23,976,0
High Rise,2020-09-11,2024-10-16,1387,1
Nursing Home,2020-04-12,2024-11-11,132,0
Hotel & Motel,2023-05-15,2024-01-02,588,1
Hospital,2022-05-17,2024-09-13,474,0
Detention,2020-10-18,2024-01-31,818,1
Residential Care,2021-09-01,2024-01-08,1066,0
Hospital,2023-11-20,2024-07-11,108,0
Hospital,2022-05-01,2024-10-18,508,1
High Rise,2020-03-06,2024-09-13,1499,0
Low Rise,2020-01-09,2024-07-12,218,0
Group Home (VO),2021-02-10,2024-10-26,1324,0
Residential Care,2019-12-16,2024-10-30,133,0
Hotel & Motel,2024-09-01,2024-11-02,1272,0
Residential Care,2020-07-15,2024-01-25,295,1
Hospital,2021-07-20,2024-05-16,606,0
Hotel & Motel,2022-08-24,2024-03-15,390,1
Detention,2024-05-30,2024-04-01,596,1
Detention,2021-10-15,2024-07-05,971,1
Detention,2019-08-12,2024-06-16,72,1
Group Home (VO),2020-12-22,2024-08-27,532,1
Group Home (VO),2019-08-17,2024-10-27,1311,1
Group Home (VO),2022-04-04,2024-02-12,1663,1
Group Home,2023-11-17,2024-04-10,339,1
Detention,2019-11-10,2024-04-24,496,0
Hospital,2020-10-20,2024-05-12,48,1
Low Rise,2022-10-17,2024-07-29,1605,0
Residential Care,2020-02-02,2024-06-24,1071,1
Nursing Home,2020-04-28,2024-06-17,1416,1
Hotel & Motel,2024-01-11,2024-09-28,1244,0
Group Home (VO),2021-10-24,2024-06-26,586,1
Residential Care,2024-08-03,2024-05-08,1271,0
Hotel & Motel,2023-05-31,2024-10-10,969,1
Hospital,2023-11-13,2024-05-06,198,0
Hotel & Motel,2024-01-18,2024-05-17,1458,0
Nursing Home,2021-07-29,2024-02-05,154,0
Rooming House,2019-11-19,2024-05-25,1278,1
Group Home,2021-07-19,2024-09-24,1257,0
Low Rise,2020-07-27,2024-11-23,525,1
Hotel & Motel,2022-05-07,2024-10-29,1141,0
Residential Care,2020-05-09,2024-07-16,638,1
Hotel & Motel,2023-01-23,2024-01-24,239,0
Residential Care,2020-01-12,2024-02-05,938,1
Hotel & Motel,2022-05-31,2024-04-04,643,1
Detention,2024-08-16,2024-01-23,1193,0
Hotel & Motel,2023-09-30,2024-05-14,544,1
Nursing Home,2020-05-07,2024-01-27,21,1
Hotel & Motel,2020-07-03,2024-06-05,419,0
Group Home (VO),2020-01-19,2024-01-10,1383,1
Low Rise,2022-08-09,2024-06-25,1183,0
Rooming House,2020-06-16,2024-05-01,1529,1
Detention,2020-09-27,2024-09-17,645,1
Nursing Home,2024-04-30,2024-02-08,466,0
Residential Care,2022-11-14,2024-08-15,1395,1
Nursing Home,2023-02-13,2024-10-15,1214,0
Residential Care,2024-07-27,2024-06-11,1292,0
Rooming House,2023-12-26,2024-01-20,1335,1
Nursing Home,2024-08-26,2024-07-06,1576,0
Group Home,2020-09-25,2024-11-02,541,0
Residential Care,2019-09-01,2024-06-12,165,1
Group Home,2021-10-28,2024-03-01,1569,1
Hotel & Motel,2019-09-03,2024-03-03,414,1
Low Rise,2024-06-19,2024-05-25,323,1
Detention,2024-02-29,2024-06-11,622,0
Residential Care,2021-08-23,2024-04-16,1403,1
Detention,2023-09-10,2024-11-27,1432,0
Group Home,2024-10-23,2024-05-31,973,0
Low Rise,2021-08-08,2024-03-05,490,1
High Rise,2023-07-19,2024-08-29,326,0
Low Rise,2021-04-26,2024-01-15,1008,0
Detention,2022-06-15,2024-07-07,1411,1
Hotel & Motel,2022-09-22,2024-05-17,344,1
Group Home,2019-09-17,2024-11-24,968,1
Low Rise,2023-08-20,2024-06-22,953,0
Group Home (VO),2024-03-12,2024-04-03,1457,0
Rooming House,2024-02-28,2024-09-30,1187,0
Group Home,2021-10-27,2024-08-16,754,0
Rooming House,2020-11-22,2024-05-30,866,0
Detention,2022-04-14,2024-05-27,582,1
Group Home (VO),2020-11-03,2024-11-21,1674,0
High Rise,2024-05-13,2024-05-13,1442,1
Residential Care,2023-07-14,2024-09-22,1486,1
Detention,2020-04-16,2024-03-17,744,0
Hotel & Motel,2023-02-07,2024-04-19,1088,1
Rooming House,2022-02-24,2024-02-13,1190,0
Low Rise,2020-05-03,2024-01-10,161,1
High Rise,2021-01-18,2024-11-16,113,0
High Rise,2021-09-16,2024-06-24,863,0
Group Home (VO),2023-02-07,2024-08-14,608,0
Group Home (VO),2024-02-13,2024-01-16,787,0
Residential Care,2020-08-31,2024-10-25,1426,0
Low Rise,2021-03-13,2024-08-03,78,1
Nursing Home,2021-06-25,2024-09-18,23,0
High Rise,2024-05-09,2024-02-10,1316,1
Group Home (VO),2024-06-10,2024-11-19,992,1
Group Home (VO),2020-09-18,2024-03-25,696,0
Low Rise,2023-08-01,2024-04-16,1334,1
Group Home (VO),2020-05-18,2024-10-28,171,0
High Rise,2022-05-21,2024-07-24,504,0
Residential Care,2020-08-08,2024-05-26,1334,0
High Rise,2020-12-14,2024-01-02,839,0
Detention,2021-05-24,2024-08-10,1656,0
Residential Care,2020-11-13,2024-02-28,924,0
Rooming House,2020-05-24,2024-09-20,1599,1
Residential Care,2020-02-18,2024-06-29,1565,0
Hospital,2021-02-05,2024-08-18,1112,0
High Rise,2023-10-21,2024-08-27,1375,0
Nursing Home,2022-10-13,2024-11-22,1258,0
High Rise,2020-08-14,2024-09-06,737,1
Group Home (VO),2020-10-18,2024-11-22,788,1
Detention,2020-12-08,2024-05-24,1449,1
Low Rise,2024-11-08,2024-06-18,284,1
Hospital,2021-02-27,2024-07-10,1006,1
Nursing Home,2021-03-14,2024-02-24,1359,0
Residential Care,2021-07-27,2024-05-22,112,1
Low Rise,2020-01-17,2024-01-03,598,0
Group Home (VO),2023-07-06,2024-10-28,885,1
Hotel & Motel,2024-11-02,2024-10-29,993,1
Detention,2022-01-10,2024-11-24,617,0
High Rise,2024-01-23,2024-11-04,1508,0
Hotel & Motel,2021-03-16,2024-03-16,56,1
Residential Care,2021-10-10,2024-10-31,1216,1
Hotel & Motel,2022-08-20,2024-05-12,576,0
Group Home (VO),2024-08-02,2024-02-22,1650,0
Group Home (VO),2024-03-24,2024-08-22,1481,0
Low Rise,2019-12-25,2024-07-25,816,0
Low Rise,2021-10-04,2024-07-16,1285,0
Rooming House,2022-05-15,2024-03-22,87,0
Detention,2021-01-18,2024-07-23,143,1
Hotel & Motel,2024-02-26,2024-03-19,580,0
Rooming House,2019-10-20,2024-04-18,1049,0
Group Home,2024-06-07,2024-01-08,239,1
Residential Care,2022-04-13,2024-02-19,684,0
Rooming House,2024-04-22,2024-08-28,1652,1
Hotel & Motel,2020-09-23,2024-10-28,562,1
High Rise,2024-02-29,2024-08-16,742,0
High Rise,2022-06-18,2024-08-06,826,0
Group Home,2024-07-01,2024-11-27,768,1
Nursing Home,2024-03-12,2024-02-14,1464,0
Nursing Home,2019-10-17,2024-04-01,1240,0
Detention,2021-07-30,2024-03-17,1098,0
High Rise,2023-01-20,2024-09-23,375,1
Nursing Home,2024-01-10,2024-03-17,1550,1
Detention,2020-10-19,2024-02-08,252,1
Group Home,2020-11-30,2024-07-24,1645,0
Group Home,2021-12-26,2024-01-27,837,1
Detention,2023-10-04,2024-03-08,1438,1
Low Rise,2020-05-21,2024-09-28,624,0
Rooming House,2021-03-10,2024-03-11,997,0
Residential Care,2022-10-31,2024-05-28,642,1
Group Home,2024-05-21,2024-05-03,521,0
Rooming House,2021-12-10,2024-01-17,319,0
Residential Care,2024-04-05,2024-11-03,1566,0
Hospital,2023-12-05,2024-04-05,462,1
Rooming House,2024-11-01,2024-11-17,1616,1
Detention,2021-05-31,2024-01-27,755,0
Low Rise,2020-09-19,2024-10-28,1422,0
Low Rise,2021-04-23,2024-05-25,750,1
Nursing Home,2022-09-03,2024-08-28,1250,0
Hotel & Motel,2020-06-26,2024-02-17,1028,1
Rooming House,2022-11-03,2024-11-19,1238,1
Rooming House,2023-06-29,2024-06-15,1451,1
Low Rise,2021-03-15,2024-05-11,222,0
Rooming House,2021-05-28,2024-05-15,723,0
Group Home (VO),2023-01-06,2024-05-23,980,0
High Rise,2023-04-13,2024-09-15,1419,0
Hotel & Motel,2020-06-11,2024-11-16,1289,0
Low Rise,2021-07-22,2024-05-02,544,1
Detention,2021-12-24,2024-11-06,979,1
Detention,2019-12-16,2024-07-25,1397,0
Hotel & Motel,2023-10-24,2024-09-26,1391,0
Low Rise,2023-10-26,2024-03-17,577,0
High Rise,2021-01-25,2024-03-12,509,1
Hotel & Motel,2021-03-29,2024-03-31,162,1
Detention,2022-02-21,2024-11-17,1607,1
Low Rise,2021-10-30,2024-05-12,358,0
Residential Care,2022-07-04,2024-07-14,427,0
Residential Care,2021-11-23,2024-11-02,688,0
Hospital,2022-07-09,2024-10-02,691,0
Hotel & Motel,2024-07-31,2024-03-05,263,0
Residential Care,2021-04-17,2024-06-20,644,0
Nursing Home,2020-04-07,2024-08-04,530,1
Nursing Home,2019-12-14,2024-04-19,91,0
Rooming House,2020-07-27,2024-07-30,1298,1
Nursing Home,2023-01-27,2024-07-29,1554,1
Detention,2023-04-07,2024-07-01,321,0
Group Home,2024-11-20,2024-01-23,336,1
Hotel & Motel,2022-12-08,2024-09-05,680,1
High Rise,2022-02-03,2024-06-07,1606,1
Rooming House,2020-01-26,2024-07-15,1137,0
Hospital,2019-12-03,2024-08-08,1250,0
Rooming House,2021-06-14,2024-02-15,394,1
Detention,2024-10-29,2024-03-14,1212,1
Hotel & Motel,2021-04-06,2024-07-18,817,0
Low Rise,2020-04-01,2024-01-15,340,0
Group Home (VO),2020-08-31,2024-08-27,424,0
Low Rise,2024-01-21,2024-06-29,1241,1
High Rise,2020-07-26,2024-06-29,1108,1
Low Rise,2020-04-25,2024-02-26,993,1
Residential Care,2020-09-21,2024-07-11,426,1
Residential Care,2022-05-21,2024-01-14,790,0
Rooming House,2021-09-14,2024-10-19,1470,1
Residential Care,2024-10-11,2024-01-10,1140,0
Group Home,2022-10-25,2024-06-06,1388,1
Nursing Home,2019-08-28,2024-04-03,1364,0
Detention,2022-10-31,2024-07-15,1094,0
Group Home,2022-07-04,2024-07-01,427,1
Group Home,2023-09-09,2024-03-20,1598,1
Low Rise,2022-06-06,2024-05-22,348,0
Low Rise,2022-05-04,2024-04-27,1508,0
Group Home,2023-03-25,2024-04-12,1625,0
Group Home,2023-05-29,2024-05-09,696,1
Rooming House,2022-11-17,2024-04-24,1248,1
Low Rise,2020-04-13,2024-11-12,1392,1
Detention,2021-01-04,2024-08-01,1081,1
Rooming House,2024-02-02,2024-01-25,1411,1
Low Rise,2022-02-20,2024-04-26,594,0
Group Home (VO),2023-05-08,2024-04-20,190,1
Nursing Home,2020-05-12,2024-08-10,82,1
Hospital,2021-05-01,2024-11-28,197,1
Rooming House,2023-04-05,2024-05-05,1283,0
Residential Care,2021-11-26,2024-02-24,1055,0
Hospital,2021-04-16,2024-07-13,1196,1
Rooming House,2020-05-15,2024-01-28,30,1
Rooming House,2024-10-22,2024-01-11,1003,1
Group Home (VO),2023-08-01,2024-10-30,979,1
Group Home,2020-03-11,2024-02-24,1454,1
Group Home (VO),2022-03-16,2024-08-12,1033,1
High Rise,2024-04-30,2024-10-24,576,0
Residential Care,2022-11-05,2024-10-08,33,1
High Rise,2024-06-06,2024-02-28,720,0
Rooming House,2022-02-17,2024-08-12,557,1
Rooming House,2022-01-04,2024-08-31,939,0
Low Rise,2019-11-09,2024-09-12,325,0
High Rise,2021-12-10,2024-11-21,1379,0
High Rise,2024-05-10,2024-09-04,379,1
